reference,name,serial_number,note,external_image_url,business_unit_key,assigned_business_unit_keys
"AST--1","Main Steam Boiler Line A","BER-VSB25-OIL-23-000147","Commissioned 2023-09. Last inspection 2025-11, next due 2026-11 via Boiler Inspection Service Package (12 months). Cold start ignition faults observed Jan 2026. Check Ignition Electrode with Cable (1.5 m) and replace if wear is visible. Keep Stainless Steel Burner Valve (Flanged) available for rapid swap. Preferred service window Fri 18:00 to Sun 06:00.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--1.jpg,"spryker_systems_Berlin","spryker_systems_Berlin"
"AST--2","Steam Boiler Packaging Hall","BER-HSB15-10B-21-000581","In service since 2021-08. Heat exchanger gaskets replaced 2025-09 using Gasket Set for Heat Exchanger (30 pcs). Pressure readings drift reported 2026-01. Replace Digital Pressure Sensor 16bar (0–16 bar) during next stop and verify wiring. Safety limiter check due in next inspection cycle.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--2.jpg,"spryker_systems_Berlin","spryker_systems_Berlin"
"AST--3","Condensate Return Unit Boiler House","BER-CRPU-5M3-22-000332","Installed 2022-05. Vibration increases above 70 percent load, monitor weekly. Seal area inspected 2025-10, no leakage. Planned preventive visit 2026-04. If vibration returns after lubrication, check alignment. Lockout tagout mandatory for service.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--3.jpg,"spryker_systems_Berlin","spryker_systems_Berlin"
"AST--4","Boiler Circulation Pump Loop 1","BER-CPB-8M-24-000098","Commissioned 2024-01. Bearing noise reported 2026-01, reduced after lubrication. If noise increases, create inquiry and plan inspection during maintenance window 2026-03. Keep Gasket Set for Heat Exchanger (10 pcs) available for planned intervention.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--4.jpg,"spryker_systems_Berlin","spryker_systems_Berlin"
"AST--5","Safety Valve DN40 Steam Header","BER-SV-DN40-10B-25-000044","Installed 2025-03. Include in Boiler Inspection Service Package (12 months). Record test date and results after each check. If lift test shows deviation, schedule replacement during next shutdown window.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--5.jpg,"spryker_systems_Berlin","spryker_systems_Berlin"
"AST--6","Heat Pump New Line 1","BCN-IHP60-25-000006","Commissioned 2025-10. Setpoint deviations under peak load reported 2026-01. Verify Temperature Sensor PT100 (70 mm) readings and check Digital Pressure Sensor 16bar (0–16 bar) calibration. If alarms repeat, review Digital Temperature Controller (4-20mA) parameters. Preferred service window Tue 13:00 to 18:00.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--6.jpg,"spryker_systems_Barcelona","spryker_systems_Barcelona"
"AST--7","Heat Pump Utility Building","BCN-HEHP45-24-000041","Installed 2024-06. Stable operation. Recommended parameter review next planned visit. Keep Temperature Sensor PT100 (50 mm) spare for quick swap. If temperature oscillates, verify Digital Temperature Controller (SSR) configuration before changing hardware.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--7.jpg,"spryker_systems_Barcelona","spryker_systems_Barcelona"
"AST--8","Control Panel Heat Pump Line 1","BCN-HPCP-3PH-25-000012","Intermittent phase mismatch after power events. Verify wiring, grounding, and supply stability. If recurring, plan replacement and coordinate electrician for isolation. Document configuration changes after service.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--8.jpg,"spryker_systems_Barcelona","spryker_systems_Barcelona"
"AST--9","Process Water Booster Pump","BCN-IBP-SS-24-000219","Installed 2024-03. Noise increases when inlet pressure is low. Verify suction conditions and check for air in the system. If vibration persists, inspect mounting. Use Flanged Globe Valve (Flanged) to isolate during service. Keep Digital Pressure Sensor 16bar (0–20 bar) available for diagnostics if readings are unstable.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--9.jpg,"spryker_systems_Barcelona","spryker_systems_Barcelona"
"AST--10","Electric Steam Boiler Lab Supply","ZRH-VSB25-EL-24-000088","Commissioned 2024-02. Run limiter test quarterly. If temperature overshoots, verify Safety Temperature Limiter (90°C) operation and Temperature Sensor PT100 (50 mm) readings. Upload measured values after each check.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--10.jpg,"spryker_systems_Zurich","spryker_systems_Zurich"
"AST--11","Steam Boiler Warehouse","ZRH-HSB15-12B-22-000404","In service since 2022-01. Pressure values fluctuate at startup. Replace Digital Pressure Sensor 16bar (0–20 bar) during next planned stop and confirm wiring. Heat exchanger gasket change planned using Gasket Set for Heat Exchanger (20 pcs).",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--11.jpg,"spryker_systems_Zurich","spryker_systems_Zurich"
"AST--12","Circulation Pump Heating Loop A","ZRH-CPB-4M-23-000214","Installed 2023-03. Minor seepage observed 2026-01, retorqued. If leak persists, replace Gasket Set for Heat Exchanger (10 pcs) and verify sealing surfaces. Keep Temperature Sensor PT100 (30 mm) available for quick diagnostics.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--12.jpg,"spryker_systems_Zurich","spryker_systems_Zurich"
"AST--13","Condensate Return Unit Secondary","ZRH-CRPU-3M3-23-000165","Installed 2023-07. Normal operation. Include in quarterly checks for leaks, vibration, and noise. If condensate temperature increases, verify return line and isolate using Flanged Globe Valve (Threaded) before service.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--13.jpg,"spryker_systems_Zurich","spryker_systems_Zurich"
"AST--14","Expansion Tank Heating Circuit","ZRH-ETH-75L-23-000148","Installed 2023-02. Pre charge 1.6 bar. Check annually and after any pressure adjustments. If pressure alarms occur, confirm tank charge before replacing sensors.",https://d2s0ynfc62ej12.cloudfront.net/image/asset/AST--14.jpg,"spryker_systems_Zurich","spryker_systems_Zurich"
